,time,amplitude
0,0,-5.425238493789679e-05
1,1,5.732352027675111e-05
2,2,-5.8199084806967685e-05
3,3,5.766009351581398e-05
4,4,-5.5269084547540385e-05
5,5,4.934923460357124e-05
6,6,-4.1279102905375474e-05
7,7,3.176415730854618e-05
8,8,-2.3924007939233336e-05
9,9,1.697994164950075e-05
10,10,-9.340871818688402e-06
11,11,2.2717309710839787e-06
12,12,2.651446583141293e-06
13,13,-3.0602785678104682e-06
14,14,8.090690926682541e-07
15,15,2.978670958673563e-06
16,16,-8.715603595097598e-06
17,17,1.7961865737756874e-05
18,18,-2.9572368939097545e-05
19,19,4.116015159872155e-05
20,20,-5.061629634209374e-05
21,21,5.932710693070957e-05
22,22,-6.633477570519637e-05
23,23,7.2248457835428e-05
24,24,-7.381432265879493e-05
25,25,7.435139448417758e-05
26,26,-7.303086842012567e-05
27,27,7.098834635695728e-05
28,28,-6.435201137333924e-05
29,29,5.508897927838518e-05
30,30,-4.384968585812398e-05
31,31,3.5116801449124406e-05
32,32,-2.589152263240652e-05
33,33,1.646848430450512e-05
34,34,-5.671747847686928e-06
35,35,-3.40669707102611e-06
36,36,9.140573152608484e-06
37,37,-1.2424667689119592e-05
38,38,1.5559209525980284e-05
39,39,-1.8329047664732912e-05
40,40,2.186806315772855e-05
41,41,-2.389366748965782e-05
42,42,2.6486154236377e-05
43,43,-3.0261422562467317e-05
44,44,3.3442475836041464e-05
45,45,-3.694389508162294e-05
46,46,3.833673208060402e-05
47,47,-4.07461860027833e-05
48,48,4.4265031755339356e-05
49,49,-4.794475614866155e-05
50,50,5.03983453358344e-05
51,51,-5.321135379888673e-05
52,52,5.5225874687761864e-05
53,53,-6.105376948722584e-05
54,54,6.335207595006948e-05
55,55,-6.442744546667181e-05
56,56,6.0879506146229995e-05
57,57,-5.7068691633962866e-05
58,58,5.3929912095090385e-05
59,59,-5.198690308472113e-05
60,60,4.793008079333109e-05
61,61,-4.4079444361378445e-05
62,62,3.674181817775543e-05
63,63,-3.2799756948458905e-05
64,64,2.7932947201869886e-05
65,65,-2.581768908552659e-05
66,66,2.3157913757282034e-05
67,67,-2.242136208862971e-05
68,68,2.408002345641731e-05
69,69,-2.8504726453704433e-05
70,70,3.2357179746650285e-05
71,71,-3.578445779966837e-05
72,72,3.677718251671571e-05
73,73,-3.899129258049442e-05
74,74,3.9208787648760546e-05
75,75,-3.774744664884313e-05
76,76,3.3089240059792975e-05
77,77,-2.6651438273996267e-05
78,78,1.810395706798883e-05
79,79,-7.266782973473475e-06
80,80,-6.513715163048258e-06
81,81,1.8790035168623105e-05
82,82,-2.9264257448571443e-05
83,83,3.7198004081665655e-05
84,84,-4.525555007265566e-05
85,85,5.2746474308935795e-05
86,86,-5.602217773808796e-05
87,87,5.32866319314015e-05
88,88,-4.63595523876999e-05
89,89,3.789565398793438e-05
90,90,-3.009551780047099e-05
91,91,2.1602075375436115e-05
92,92,-1.0537050888442402e-05
93,93,-1.5570211523197502e-06
94,94,1.3745118791164496e-05
95,95,-2.2157164532364775e-05
96,96,2.709588592536049e-05
97,97,-2.9213884277066762e-05
98,98,3.117861170172094e-05
99,99,-3.194995921548182e-05
100,100,3.1873069554025704e-05
101,101,-2.7025061407629147e-05
102,102,2.0039820413222122e-05
103,103,-1.0393906985200017e-05
104,104,1.8801394423561902e-06
105,105,5.059792245298417e-06
106,106,-9.712117604628136e-06
107,107,1.3184226947169156e-05
108,108,-1.4941707767747387e-05
109,109,1.59067900230736e-05
110,110,-1.2568721178785089e-05
111,111,8.092312993129381e-06
112,112,-1.3747192217752443e-06
113,113,-3.972552266759441e-06
114,114,8.828161674598553e-06
115,115,-1.414014713106949e-05
116,116,1.8125634454022895e-05
117,117,-1.9651940334714017e-05
118,118,1.7188103600390896e-05
119,119,-1.107336594445338e-05
120,120,3.565397022619851e-06
121,121,5.468234179992193e-06
122,122,-1.6175520491024535e-05
123,123,2.550374371640814e-05
124,124,-3.2771043136500795e-05
125,125,3.3486437239038843e-05
126,126,-3.156577293530956e-05
127,127,2.782161088609359e-05
128,128,-2.3670354896040424e-05
129,129,1.6655844929234243e-05
130,130,-5.928982019281047e-06
131,131,-7.6293724332317825e-06
132,132,1.9713902673916547e-05
133,133,-3.061028704514952e-05
134,134,3.976860390384783e-05
135,135,-4.8174245261095473e-05
136,136,5.292902804261967e-05
137,137,-5.186681838402075e-05
138,138,4.604844359963655e-05
139,139,-3.8781363549060444e-05
140,140,3.1788808518986646e-05
141,141,-2.3423816125082624e-05
142,142,1.2881520413977717e-05
143,143,7.38786899392363e-07
144,144,-1.1686692638445903e-05
145,145,2.1205452423755968e-05
146,146,-2.715640240442574e-05
147,147,3.25405441098733e-05
148,148,-3.468052870021296e-05
149,149,3.330114779683406e-05
150,150,-2.6760776081104252e-05
151,151,2.0422395336657154e-05
152,152,-1.208864775484331e-05
153,153,6.530948646182644e-06
154,154,2.058550874505621e-06
155,155,-8.034996414962306e-06
156,156,1.3971404105234824e-05
157,157,-1.673730497209237e-05
158,158,2.076288181162405e-05
159,159,-2.4053462580756887e-05
160,160,2.8135944458147097e-05
161,161,-2.8246680923714742e-05
162,162,2.7594849035920295e-05
163,163,-2.523958386391071e-05
164,164,2.565051033103711e-05
165,165,-2.6705039151104545e-05
166,166,3.133729539649114e-05
167,167,-3.607413750264479e-05
168,168,4.254548094604534e-05
169,169,-4.6122728520039105e-05
170,170,4.718233984081969e-05
171,171,-4.519175959810681e-05
172,172,4.2074964235257114e-05
173,173,-3.80300139596069e-05
174,174,3.3191835235676596e-05
175,175,-2.527918477242099e-05
176,176,1.5486182792067256e-05
177,177,-4.353237355687067e-06
178,178,-5.511471069958492e-06
179,179,1.119167577297525e-05
180,180,-1.259228783799187e-05
181,181,9.341160112140322e-06
182,182,-2.260439550201455e-06
183,183,-7.4812834520408875e-06
184,184,2.0738216696129347e-05
185,185,-3.6671722169843736e-05
186,186,5.3676311542002136e-05
187,187,-7.1123550189055e-05
188,188,8.396053117466018e-05
189,189,-9.14545729909291e-05
190,190,9.244933069246389e-05
191,191,-8.850102909605944e-05
192,192,8.278928494815559e-05
193,193,-7.389241323741056e-05
194,194,6.173235229852458e-05
195,195,-4.7830604126980817e-05
196,196,3.382277893282201e-05
197,197,-2.4141632840580196e-05
198,198,1.8186009167234688e-05
199,199,-1.5755142883619837e-05
200,200,1.709208457139803e-05
201,201,-2.068481548467874e-05
202,202,2.6235722557127336e-05
203,203,-3.1834482164555116e-05
204,204,3.624066622551302e-05
205,205,-4.0783609725961797e-05
206,206,4.275521653512068e-05
207,207,-4.222856674348027e-05
208,208,3.751467638518753e-05
209,209,-3.04750265248598e-05
210,210,2.2502431300003794e-05
211,211,-1.40945566962784e-05
212,212,4.067436461444627e-06
213,213,5.747642065993539e-06
214,214,-1.480056957188839e-05
215,215,1.973098610160799e-05
216,216,-2.2446075275601238e-05
217,217,2.387266864192932e-05
218,218,-2.5920082335003638e-05
219,219,2.7496580455617927e-05
220,220,-2.8368439938389348e-05
221,221,2.744001837337525e-05
222,222,-2.726649679877523e-05
223,223,2.8279692244584502e-05
224,224,-3.0169610884460664e-05
225,225,3.179785242536713e-05
226,226,-3.103063044230421e-05
227,227,2.912960397661221e-05
228,228,-2.7039585043886698e-05
229,229,2.515764980123124e-05
230,230,-2.3303016001798638e-05
231,231,2.003941943214365e-05
232,232,-1.5049808182171542e-05
233,233,1.035141570063965e-05
234,234,-5.6147077672166944e-06
235,235,3.5197391808551744e-06
236,236,-3.333254004467892e-06
237,237,6.2625495709914e-06
238,238,-1.2333019933843242e-05
239,239,2.0533437719891344e-05
240,240,-2.8125342684906313e-05
241,241,3.4598397577873316e-05
242,242,-3.556031931179018e-05
243,243,3.56484203507635e-05
244,244,-3.268254170385945e-05
245,245,3.059037834016179e-05
246,246,-2.7266278433156288e-05
247,247,2.1875904592621536e-05
