,time,amplitude
0,0,2.7793452643067686e-08
1,1,-5.036504443841005e-08
2,2,6.965822569626264e-08
3,3,-8.442931610923337e-08
4,4,9.533022560041588e-08
5,5,-1.0376532302943161e-07
6,6,1.0973972253143709e-07
7,7,-1.1459414447920528e-07
8,8,1.1845305819559098e-07
9,9,-1.2034479736652184e-07
10,10,1.2265628882255332e-07
11,11,-1.2222911001319437e-07
12,12,1.1978472453124764e-07
13,13,-1.1347613225238078e-07
14,14,1.0119419283564084e-07
15,15,-8.528094198281454e-08
16,16,6.302883770299202e-08
17,17,-3.7125467344500466e-08
18,18,8.154839310895253e-09
19,19,2.3764097668371366e-08
20,20,-5.2637429458078883e-08
21,21,8.050521316687904e-08
22,22,-1.0137898892696678e-07
23,23,1.1620052583116481e-07
24,24,-1.246661105772231e-07
25,25,1.2383347661144947e-07
26,26,-1.1819905843095518e-07
27,27,1.0566700906567432e-07
28,28,-8.939000873487756e-08
29,29,7.312884613369101e-08
30,30,-5.4798702125778395e-08
31,31,4.04489200795335e-08
32,32,-2.7934802334086075e-08
33,33,1.8843763297756516e-08
34,34,-1.639220669227343e-08
35,35,1.6970400330154584e-08
36,36,-2.3283787349435207e-08
37,37,3.312883597114136e-08
38,38,-4.373765828574595e-08
39,39,5.710882885682878e-08
40,40,-7.008195217377612e-08
41,41,8.232215618331466e-08
42,42,-9.520350147220747e-08
43,43,1.0591088140791061e-07
44,44,-1.1553074870622327e-07
45,45,1.2574770592454664e-07
46,46,-1.3184774610225017e-07
47,47,1.384199233649022e-07
48,48,-1.425614490947306e-07
49,49,1.4289459650093838e-07
50,50,-1.4452339192964517e-07
51,51,1.394715509725602e-07
52,52,-1.3386509292123222e-07
53,53,1.258475833056525e-07
54,54,-1.1349739910924543e-07
55,55,1.0459090341030832e-07
56,56,-9.095633279289035e-08
57,57,7.937192748789998e-08
58,58,-6.929992774992618e-08
59,59,5.794335390605501e-08
60,60,-5.4045516304304525e-08
61,61,4.9436148431968236e-08
62,62,-4.872422044932443e-08
63,63,5.160527273467037e-08
64,64,-5.24293856097251e-08
65,65,5.896457400284571e-08
66,66,-6.224562508651653e-08
67,67,6.57297206216034e-08
68,68,-6.870254163785003e-08
69,69,6.612824411339284e-08
70,70,-6.490017329967736e-08
71,71,5.932357635659407e-08
72,72,-5.192353800913284e-08
73,73,4.6569015837637744e-08
74,74,-3.556141717392236e-08
75,75,2.892432517978129e-08
76,76,-2.107832073072103e-08
77,77,1.2573324201958211e-08
78,78,-1.0961567475439979e-08
79,79,5.958354220322322e-09
80,80,-5.6402939462719745e-09
81,81,8.143740458625562e-09
82,82,-7.347673778046935e-09
83,83,1.2473363474309863e-08
84,84,-1.4928173548895034e-08
85,85,1.6932366041548888e-08
86,86,-2.330590027080383e-08
87,87,2.5781318907804596e-08
88,88,-3.1627065788562534e-08
89,89,3.830348577769899e-08
90,90,-4.239273444274675e-08
91,91,5.1298873068028714e-08
92,92,-5.788712785155495e-08
93,93,6.449499419274121e-08
94,94,-7.294123056430901e-08
95,95,7.592799934373948e-08
96,96,-8.005080725953884e-08
97,97,8.091231516434922e-08
98,98,-7.616641848550806e-08
99,99,7.264784908941764e-08
100,100,-6.094835153328432e-08
101,101,4.8460409548742916e-08
102,102,-3.491450074739595e-08
103,103,1.5760202246455587e-08
104,104,-2.0004550412836195e-09
105,105,-1.4519856107952335e-08
106,106,2.9114369292169464e-08
107,107,-3.815936660298928e-08
108,108,4.9873675458043164e-08
109,109,-5.34111741628457e-08
110,110,5.5696307647134244e-08
111,111,-5.60116723137334e-08
112,112,4.940867757453598e-08
113,113,-4.625422300662669e-08
114,114,3.806803447774429e-08
115,115,-3.10788152649678e-08
116,116,2.60743598507347e-08
117,117,-1.731833462308934e-08
118,118,1.3848477419273531e-08
119,119,-9.708071764185394e-09
120,120,6.5740028235583924e-09
121,121,-7.972860391486281e-09
122,122,5.328989812579148e-09
123,123,-5.414205595470955e-09
124,124,4.4737020679256534e-09
125,125,-1.2967373601558142e-09
126,126,-9.108294377682048e-10
127,127,6.125882027396322e-09
128,128,-1.2754911337350205e-08
129,129,1.9006887722367902e-08
130,130,-2.7265355082077523e-08
131,131,3.7001261081423175e-08
132,132,-4.6985528005827e-08
133,133,5.971758125593602e-08
134,134,-7.051903857278563e-08
135,135,8.017027607423008e-08
136,136,-8.953637164395784e-08
137,137,9.461759484678967e-08
138,138,-9.858731869349087e-08
139,139,9.753921150984587e-08
140,140,-9.170932053001015e-08
141,141,8.297289741550126e-08
142,142,-6.891130177023716e-08
143,143,5.255086791536571e-08
144,144,-3.36671205615188e-08
145,145,1.277373077588321e-08
146,146,7.423265988605948e-09
147,147,-2.682345806564459e-08
148,148,4.387544000406427e-08
149,149,-5.678227944426766e-08
150,150,6.532395162608058e-08
