,time,amplitude
0,0,2.442284328845295e-08
1,1,-4.5347077361277165e-08
2,2,6.188668559117015e-08
3,3,-7.834687237820967e-08
4,4,9.149523715322029e-08
5,5,-9.994620370943714e-08
6,6,1.0719609170171981e-07
7,7,-1.0905663679731752e-07
8,8,1.0788249799601187e-07
9,9,-1.0512324833427457e-07
10,10,9.656049653449599e-08
11,11,-8.689564118551461e-08
12,12,7.405061392390066e-08
13,13,-5.6254908157347395e-08
14,14,4.012744335086544e-08
15,15,-1.9700161012200593e-08
16,16,-2.390275315327213e-11
17,17,1.5799664222352443e-08
18,18,-3.361496357226998e-08
19,19,4.2496020553650644e-08
20,20,-4.94277547765912e-08
21,21,5.29277807912309e-08
22,22,-4.713065713932203e-08
23,23,4.211992806614119e-08
24,24,-2.8332412654743962e-08
25,25,1.2276275174202027e-08
26,26,1.7530958024691606e-09
27,27,-1.9492474994849867e-08
28,28,2.911975673269557e-08
29,29,-3.767117765507488e-08
30,30,4.1794068523383166e-08
31,31,-3.737871604782315e-08
32,32,3.1282543362631057e-08
33,33,-1.7304033173480313e-08
34,34,2.054866886756294e-09
35,35,1.240145533507982e-08
36,36,-2.7602001029993647e-08
37,37,3.698305311676758e-08
38,38,-4.33314563365269e-08
39,39,4.458188273405244e-08
40,40,-3.813930868211215e-08
41,41,2.7986647246714656e-08
42,42,-1.1746633933042522e-08
43,43,-8.367271232105775e-09
44,44,2.810145485514237e-08
45,45,-4.94473522663667e-08
46,46,6.675943425805173e-08
47,47,-8.058584607756354e-08
48,48,9.152503048239041e-08
49,49,-9.669114489626078e-08
50,50,9.844706508397897e-08
51,51,-9.641916126870715e-08
52,52,9.116006983980528e-08
53,53,-8.590409949084515e-08
54,54,8.024075248333787e-08
55,55,-7.548343519661767e-08
56,56,7.177240858456769e-08
57,57,-6.950737666659275e-08
58,58,6.93117620140466e-08
59,59,-7.058953818009075e-08
60,60,7.374304533710301e-08
61,61,-7.583596436213293e-08
62,62,7.810563515977704e-08
63,63,-7.951782855230441e-08
64,64,7.804270388341325e-08
65,65,-7.75105828038175e-08
66,66,7.346262518849035e-08
67,67,-6.907505830675413e-08
68,68,6.519083422049265e-08
69,69,-5.70921661697023e-08
70,70,5.0569703432306284e-08
71,71,-4.142043251032668e-08
72,72,3.087950977211093e-08
73,73,-2.3317160079477966e-08
74,74,1.2859799347014696e-08
75,75,-4.495683023244487e-09
76,76,-3.282825111337888e-09
77,77,1.2021266334890339e-08
78,78,-1.7040013102427773e-08
79,79,2.1655928035998618e-08
80,80,-2.3137682073383847e-08
81,81,2.1782649264631537e-08
82,82,-1.7117391221438602e-08
83,83,1.0472558061145247e-08
84,84,1.5591441299068046e-10
85,85,-1.3136086567846463e-08
86,86,2.7101364178281075e-08
87,87,-4.52403400368658e-08
88,88,6.069692944096203e-08
89,89,-7.72381333584338e-08
90,90,9.358119106719993e-08
91,91,-1.0475251488384603e-07
92,92,1.1751369176358578e-07
93,93,-1.238403870830877e-07
94,94,1.2607123622031917e-07
95,95,-1.2811389138605057e-07
96,96,1.21086846508465e-07
97,97,-1.1560296100795536e-07
98,98,1.0490584283564186e-07
99,99,-8.915772486617339e-08
100,100,7.617615567883068e-08
101,101,-5.678191424830271e-08
102,102,4.0460294598559135e-08
103,103,-2.4377565381749393e-08
104,104,5.936321246286085e-09
105,105,5.825179875640886e-09
106,106,-1.7866946937893533e-08
107,107,2.4326232993692196e-08
108,108,-2.4610849697498812e-08
109,109,2.5718742522138658e-08
110,110,-1.9437397743924505e-08
111,111,1.3259913316620393e-08
112,112,-3.668080578570682e-09
113,113,-9.646474727706307e-09
114,114,1.9568798703041105e-08
115,115,-3.034157887962576e-08
116,116,3.7533334267360394e-08
117,117,-4.129613032513506e-08
118,118,4.4611289975538206e-08
119,119,-4.360480993088513e-08
120,120,4.112520037751848e-08
121,121,-3.848241989812656e-08
122,122,3.406184517421896e-08
123,123,-3.231726623986228e-08
124,124,3.023305179324775e-08
125,125,-2.8351514259904336e-08
126,126,2.77873736487833e-08
127,127,-2.4822221382470514e-08
128,128,2.1702282746970343e-08
129,129,-1.4492255297362977e-08
130,130,3.3159854272932553e-09
131,131,1.2020254514353213e-08
132,132,-3.322807800857784e-08
133,133,5.773416010094747e-08
134,134,-8.7020598103383e-08
135,135,1.1845688502874145e-07
136,136,-1.4981347507232118e-07
137,137,1.803727689575876e-07
138,138,-2.0484761160338127e-07
139,139,2.2346758965757163e-07
140,140,-2.3488272875659097e-07
141,141,2.366733581445185e-07
142,142,-2.3294701481347369e-07
143,143,2.1915100066350801e-07
144,144,-1.9977602884389093e-07
145,145,1.7593166851209873e-07
146,146,-1.4780060200245184e-07
147,147,1.2141434600366698e-07
148,148,-9.458627364309764e-08
149,149,7.04581775938211e-08
150,150,-5.166636829169038e-08
151,151,3.582782497207753e-08
152,152,-2.683703245702293e-08
153,153,2.2498387229514454e-08
154,154,-2.1104592191541372e-08
155,155,2.7046153146915617e-08
156,156,-3.42138365733331e-08
157,157,4.602545733719715e-08
158,158,-6.053610086968814e-08
159,159,7.328261820232975e-08
160,160,-8.944409707957923e-08
161,161,1.0092603698514776e-07
162,162,-1.1025017878072031e-07
163,163,1.1801883086339312e-07
164,164,-1.1716649579793718e-07
165,165,1.1702890628617212e-07
166,166,-1.0904533487970812e-07
167,167,9.656420052317758e-08
168,168,-8.480809990408831e-08
169,169,6.517581283554062e-08
170,170,-5.146132491752897e-08
171,171,3.645843352411834e-08
172,172,-2.264583755079989e-08
173,173,1.938515216204764e-08
174,174,-1.480285268269186e-08
175,175,2.1241214145722387e-08
176,176,-3.1104702828778114e-08
177,177,4.0215884853113595e-08
178,178,-5.709100345910422e-08
179,179,6.713802516268023e-08
180,180,-7.660814930182302e-08
181,181,8.248758267846486e-08
182,182,-7.571286032558107e-08
183,183,6.793309715783779e-08
184,184,-4.853133946873952e-08
185,185,2.3424040110753027e-08
186,186,2.7202081855238123e-09
187,187,-3.414990011364612e-08
188,188,6.038068651151661e-08
189,189,-8.143611736011854e-08
190,190,9.837597970838442e-08
191,191,-1.0330328267441936e-07
192,192,1.0183857131234265e-07
193,193,-9.182089883362624e-08
194,194,7.193447906377503e-08
195,195,-5.011094782962835e-08
196,196,2.3762485901773203e-08
197,197,2.457691279442165e-09
198,198,-2.307139807869773e-08
199,199,4.124867068870879e-08
200,200,-5.18517968242938e-08
201,201,5.6009753919871296e-08
202,202,-5.7376150015688584e-08
203,203,5.156827535387672e-08
204,204,-4.378196136037612e-08
205,205,3.471190103107841e-08
206,206,-2.367506151042196e-08
207,207,1.571768126785086e-08
208,208,-8.7311020505154e-09
209,209,2.4773872998956895e-09
210,210,9.946792956414192e-10
211,211,-4.76391403622711e-09
212,212,8.840553693610254e-09
213,213,-1.2128137971475231e-08
214,214,1.8499602021567433e-08
215,215,-2.449332882786574e-08
216,216,2.9331966783465474e-08
217,217,-3.567416621291026e-08
218,218,3.741178879103378e-08
219,219,-3.881373770526493e-08
220,220,3.7164569540089655e-08
221,221,-2.9540594132440665e-08
222,222,2.2240918378838554e-08
223,223,-8.700389281192527e-09
224,224,-4.373305561908627e-09
225,225,1.787547162346529e-08
226,226,-3.2162452654468304e-08
227,227,4.016183276842449e-08
228,228,-4.692482236704762e-08
229,229,4.690262732988701e-08
230,230,-4.2885691870935325e-08
231,231,3.658456619489578e-08
232,232,-2.4288407640707523e-08
233,233,1.2414772896523758e-08
234,234,1.936349344152971e-09
235,235,-1.4366650383495234e-08
236,236,2.3365400108575277e-08
237,237,-3.0790610289517154e-08
238,238,3.387315339272728e-08
239,239,-3.5181034387242116e-08
240,240,3.421844633199247e-08
241,241,-2.987991379123942e-08
242,242,2.62350303656196e-08
243,243,-2.0700703264895538e-08
244,244,1.714974815777495e-08
245,245,-1.4100673256245734e-08
246,246,1.1475786743673232e-08
247,247,-9.335820340949059e-09
248,248,6.860755985111974e-09
249,249,-2.9845990591453783e-09
250,250,-2.0348088733955413e-09
251,251,9.639279366210841e-09
252,252,-1.963868778322115e-08
253,253,3.1740058724469374e-08
254,254,-4.4851659747927734e-08
255,255,5.9460164362659106e-08
256,256,-7.248939987555935e-08
257,257,8.589881824015304e-08
258,258,-9.846911811049236e-08
259,259,1.0838971717811957e-07
260,260,-1.1843711871055109e-07
261,261,1.251579380825384e-07
262,262,-1.3115992945355043e-07
263,263,1.3760494336617004e-07
264,264,-1.4260477675010557e-07
265,265,1.485222944919211e-07
266,266,-1.538787992180884e-07
