,time,amplitude
0,0,-6.162270695508996e-05
1,1,5.7072000871125395e-05
2,2,-5.4079835793524554e-05
3,3,5.07429015059384e-05
4,4,-4.917953345674532e-05
5,5,4.5941595846792824e-05
6,6,-4.2264292796862785e-05
7,7,3.738498402961758e-05
8,8,-3.5107911076228e-05
9,9,3.488228753744045e-05
10,10,-3.682425116605308e-05
11,11,3.550379749383366e-05
12,12,-3.077723505122753e-05
13,13,2.1322949740610203e-05
14,14,-1.0151719711926842e-05
15,15,-1.905402762949069e-06
16,16,1.466686873315309e-05
17,17,-2.8570681131766047e-05
18,18,4.1656239363585616e-05
19,19,-5.306745432148124e-05
20,20,5.8555203512513364e-05
21,21,-6.018608731170076e-05
22,22,5.759343059237564e-05
23,23,-5.327372389310747e-05
24,24,4.70705954713067e-05
25,25,-3.7453663990780126e-05
26,26,2.5045934718286202e-05
27,27,-1.196247688536414e-05
28,28,-7.365700530038334e-07
29,29,1.0059346057896582e-05
30,30,-1.9519410926672824e-05
31,31,2.676038878114096e-05
32,32,-3.295048546467754e-05
33,33,3.6413540790783037e-05
34,34,-3.678653972665647e-05
35,35,3.6087519952511245e-05
36,36,-3.511188348125288e-05
37,37,3.4705957471133114e-05
38,38,-3.6066462651439894e-05
39,39,3.73779890964523e-05
40,40,-4.0304160994668205e-05
41,41,4.3314398375047976e-05
42,42,-4.7168367423912726e-05
43,43,5.0870421062992625e-05
44,44,-5.2393589812084296e-05
45,45,5.2399122819893684e-05
46,46,-4.983277537033054e-05
47,47,4.836895461437061e-05
48,48,-4.729245915379633e-05
49,49,4.692913061413773e-05
50,50,-4.527316567383056e-05
51,51,4.1118185611129475e-05
52,52,-3.549158976114682e-05
53,53,2.9512565223292945e-05
54,54,-2.311852237403019e-05
55,55,1.7668789375519066e-05
56,56,-1.1473781147754228e-05
57,57,7.421999912688894e-06
58,58,-3.664144191321062e-06
59,59,4.5779952689422053e-07
60,60,4.7355874991897e-06
61,61,-1.0105565707016471e-05
62,62,1.4353884047654409e-05
63,63,-1.4815511092243842e-05
64,64,1.535626236629264e-05
65,65,-1.6578843872766962e-05
