,time,amplitude
0,0,-1.7731594259996985e-05
1,1,1.5633613457037102e-05
2,2,-1.2644171683493673e-05
3,3,1.0518459947144394e-05
4,4,-8.666744311387087e-06
5,5,6.675884077821587e-06
6,6,-3.5594106109198404e-06
7,7,-1.7790373845286126e-06
8,8,9.102272283687098e-06
9,9,-1.6863778849305258e-05
10,10,2.3574155403573756e-05
11,11,-2.6461216982815514e-05
12,12,2.8113795244383183e-05
13,13,-2.859481968266637e-05
14,14,2.942319968547994e-05
15,15,-2.8970592126722666e-05
16,16,2.4768754598050126e-05
17,17,-1.5257143819881028e-05
18,18,7.856683457781729e-07
19,19,1.852180274135449e-05
20,20,-3.616116591929713e-05
21,21,5.2814959452979955e-05
22,22,-6.566644034891824e-05
23,23,7.865267465996127e-05
24,24,-9.062198696368612e-05
25,25,9.875665410618702e-05
26,26,-0.00010027489771209464
27,27,9.453970040758357e-05
28,28,-8.219358621458412e-05
29,29,6.501905019676681e-05
30,30,-4.3763608321517726e-05
31,31,2.0223744660135447e-05
32,32,2.112874284694021e-06
33,33,-2.298390260212391e-05
34,34,4.143292616685588e-05
35,35,-5.8253545647715636e-05
36,36,7.175074194283061e-05
37,37,-7.976424694444049e-05
38,38,8.035883383038933e-05
39,39,-7.612888051840537e-05
40,40,6.844034359378106e-05
41,41,-6.204105150138889e-05
42,42,5.6147163318360934e-05
43,43,-5.0123916595952575e-05
44,44,4.4626998940696556e-05
45,45,-3.812998008435393e-05
46,46,3.5034902744240706e-05
47,47,-3.298182245838867e-05
48,48,3.337865544090175e-05
49,49,-3.4643854322945334e-05
50,50,3.5968985579203724e-05
51,51,-3.649679123518851e-05
52,52,3.614350594021905e-05
53,53,-3.2536369155704596e-05
54,54,2.8806078817472827e-05
55,55,-2.1579918627085842e-05
56,56,1.4869951643527762e-05
57,57,-7.362167492337157e-06
58,58,2.1856177177298642e-06
59,59,1.2546162373660884e-06
60,60,-3.607258836616724e-06
61,61,6.320106021887336e-06
62,62,-8.872134569143332e-06
63,63,1.0425408509741394e-05
64,64,-1.0529212051459105e-05
65,65,1.0571832582296198e-05
66,66,-1.2408244465155119e-05
67,67,1.7697312652244606e-05
68,68,-2.6197527548926622e-05
69,69,3.693848439279693e-05
70,70,-4.899675738100809e-05
71,71,6.0346805908613804e-05
72,72,-7.22292774100891e-05
73,73,8.416320543552211e-05
74,74,-9.769379039076056e-05
75,75,0.00011211803220251837
76,76,-0.00012350020486413365
77,77,0.00012957226496384066
78,78,-0.00012921333558435562
79,79,0.00012472116133929997
80,80,-0.00011844167568008545
81,81,0.0001081297933256383
82,82,-9.22393430400492e-05
83,83,7.166256800758345e-05
84,84,-5.031646966674916e-05
85,85,3.2306417358222484e-05
86,86,-1.7472558124708777e-05
87,87,3.6352852364479737e-06
88,88,9.385902829116337e-06
89,89,-1.97101463894137e-05
90,90,2.622961111800703e-05
91,91,-2.7040516770219683e-05
92,92,2.457116635660102e-05
93,93,-1.9809064628290203e-05
94,94,1.5176990383913367e-05
95,95,-1.349311609523847e-05
96,96,1.3497975961208459e-05
97,97,-1.5556772457029197e-05
98,98,1.9344540729369524e-05
99,99,-2.5015177546432573e-05
100,100,3.480177893636286e-05
101,101,-4.5145999353550626e-05
102,102,5.530147293026887e-05
103,103,-6.291635994576477e-05
104,104,6.678458176857284e-05
105,105,-6.730817607141534e-05
106,106,6.251516193452203e-05
107,107,-5.3529774289990944e-05
108,108,4.1695493499225276e-05
109,109,-2.7482623135596432e-05
110,110,1.3524237696401812e-05
111,111,1.4576746268568108e-06
112,112,-1.47301055612933e-05
113,113,2.636290420391373e-05
114,114,-3.578766377279942e-05
115,115,4.301854564485042e-05
116,116,-4.752022002947024e-05
117,117,4.7925864542728415e-05
118,118,-4.3261259750437554e-05
119,119,3.645529817621682e-05
120,120,-2.843743459300937e-05
121,121,2.0434208068981876e-05
122,122,-1.059672232489022e-05
123,123,-5.972559442111026e-07
124,124,8.658759147924415e-06
125,125,-1.179597626002518e-05
126,126,1.0459153343061941e-05
127,127,-8.944639255912867e-06
128,128,9.66218847385053e-06
129,129,-1.0374104121834507e-05
130,130,9.784357655785882e-06
131,131,-8.146317748273517e-06
132,132,5.955175578301123e-06
133,133,-4.563793579285608e-06
134,134,2.8434796271708947e-06
135,135,-9.93459654610426e-07
136,136,-4.657996252121161e-07
137,137,3.599527145437888e-06
138,138,-7.269146748984646e-06
139,139,1.1685962689207916e-05
140,140,-1.4565586701972594e-05
141,141,1.7082131559999026e-05
142,142,-1.913738605347093e-05
143,143,2.3168386280343557e-05
144,144,-2.6164011575101523e-05
145,145,2.9723950265999955e-05
146,146,-3.147782769528247e-05
147,147,3.153414934989124e-05
148,148,-2.95188743938121e-05
149,149,2.666094326737175e-05
150,150,-2.2855499091755222e-05
151,151,2.055194079962333e-05
152,152,-1.4124432740550552e-05
153,153,8.591982503468218e-06
154,154,-9.314851734008126e-07
155,155,-6.1897244410379245e-06
156,156,1.4118276458690775e-05
