,time,amplitude
0,0,2.1637950266635327e-08
1,1,-3.185965636349985e-08
2,2,4.55734227616025e-08
3,3,-5.5945612588838285e-08
4,4,6.561029907315099e-08
5,5,-7.321683514046407e-08
6,6,7.374509853779112e-08
7,7,-7.271152621867992e-08
8,8,6.423306535717528e-08
9,9,-4.935382761594001e-08
10,10,3.0373525545269786e-08
11,11,-4.877650299668757e-09
12,12,-2.0759603589627646e-08
13,13,4.660479050197406e-08
14,14,-7.173138290792169e-08
15,15,9.020373393170763e-08
16,16,-1.038388511944412e-07
17,17,1.0709128395776826e-07
18,18,-1.0129647257079574e-07
19,19,8.807574768831223e-08
20,20,-6.470675917106991e-08
21,21,3.686602417938471e-08
22,22,-3.2009963739022317e-09
23,23,-3.125394948577186e-08
24,24,6.203818039226827e-08
25,25,-9.031739070782192e-08
26,26,1.1082532108251714e-07
27,27,-1.2512931516695426e-07
28,28,1.318220237066965e-07
29,29,-1.291871271839414e-07
30,30,1.2108496684672072e-07
31,31,-1.060200061790927e-07
32,32,8.701086497823629e-08
33,33,-6.569739250171466e-08
34,34,4.2428318886183104e-08
35,35,-2.2141648307949612e-08
36,36,3.444039363384118e-09
37,37,1.111888493419778e-08
38,38,-2.2503058000975003e-08
39,39,3.1956768985693477e-08
40,40,-3.7303633359415905e-08
41,41,3.998358037859359e-08
42,42,-3.946609402642631e-08
43,43,3.5683400354257876e-08
44,44,-3.1478056465502524e-08
45,45,2.5559257973058493e-08
46,46,-1.9597859635143208e-08
47,47,1.289533569644127e-08
48,48,-5.609513304018318e-09
49,49,-5.458486739050465e-10
50,50,5.752921869920958e-09
51,51,-8.489799581371118e-09
52,52,9.156483151322474e-09
53,53,-8.076382296891406e-09
54,54,2.538385136545851e-09
55,55,5.015447846963614e-09
56,56,-1.7901819405480722e-08
57,57,3.260543232078502e-08
58,58,-4.755809138300343e-08
59,59,6.357617441375666e-08
60,60,-7.57988690960114e-08
61,61,8.699390596825092e-08
62,62,-9.379709865821034e-08
63,63,9.532502515823768e-08
64,64,-9.370634424562036e-08
65,65,8.667178980140773e-08
66,66,-7.742778981886506e-08
67,67,6.622975669606538e-08
68,68,-5.2672367283792484e-08
69,69,4.032076490233045e-08
70,70,-2.8151978738127667e-08
71,71,1.9468049107089365e-08
72,72,-1.381866945283695e-08
73,73,1.1255109007454733e-08
74,74,-1.140222916205543e-08
75,75,1.3061742734355792e-08
76,76,-1.6178599551565617e-08
77,77,1.944102667049048e-08
78,78,-2.3642999676801283e-08
79,79,2.7056371265190587e-08
