T [s],Pa [m2s-4/Hz],Pa [dB],Pv [m2s-2/Hz],Pv [dB],Pd [m2/Hz],Pd [dB],
0.10,7.1E-10,- 91.5,1.8E-13,- 127.5,4.5E-17,- 163.4,
0.22,1.8E-10,- 97.4,2.2E-13,- 126.5,2.7E-16,- 155.6,
0.32,8.9E-12,- 110.5,2.3E-14,- 136.4,6.6E-17,- 162.2,
0.80,1.0E-12,- 120.0,1.6E-14,- 137.9,2.6E-16,- 155.8,
3.80,1.6E-10,- 98.0,5.8E-11,- 102.4,2.1E-11,- 106.7,
4.60,2.2E-10,- 96.5,1.2E-10,-99.2,6.4E-11,- 101.9,
6.30,7.9E-11,- 101.0,8.0E-11,- 101.0,7.9E-11,- 101.0,
7.90,4.5E-12,- 113.5,7.1E-12,- 111.5,1.4E-11,- 109.5,
15.40,1.0E-12,- 120.0,6.0E-12,- 112.2,3.6E-11,- 104.4,
20.00,1.4E-14,- 138.5,1.4E-13,- 128.4,1.4E-12,- 118.4,
354.80,2.5E-13,- 126.0,8.0E-10,-91,2.6E-6,- 55.9,
10E4,9.7E-9,- 80.1,2.5E-2,-16.1,6.2E4,47.9,
10E5,1.4E-5,- 48.5,3.6E3,35.5,9.0E11,119.6,
